Hours_Studied,Attendance,Parental_Involvement,Access_to_Resources,Extracurricular_Activities,Sleep_Hours,Previous_Scores,Motivation_Level,Internet_Access,Tutoring_Sessions,Family_Income,Teacher_Quality,School_Type,Peer_Influence,Physical_Activity,Learning_Disabilities,Gender,Exam_Score,Total_Learning_Effort
0.412,0.2,0.5,0.5,0.0,0.667,0.4,0.5,1.0,0.25,0.5,0.5,0.0,1.0,0.667,0.0,0.0,0.2,0.421
0.324,0.0,0.5,0.0,1.0,1.0,0.3,0.0,1.0,0.0,1.0,0.5,0.0,1.0,0.5,0.0,1.0,0.111,0.289
0.559,0.25,0.0,0.5,1.0,0.333,0.64,0.5,1.0,0.125,0.0,1.0,1.0,0.5,0.5,0.0,0.0,0.222,0.526
0.353,0.5,0.5,0.5,1.0,0.833,0.82,0.0,1.0,0.375,0.0,0.5,1.0,1.0,0.333,0.0,0.0,0.267,0.395
0.265,0.375,0.5,1.0,1.0,0.5,0.16,0.5,1.0,0.375,0.5,0.5,0.0,1.0,0.667,0.0,1.0,0.244,0.316
0.765,0.45,0.5,0.5,0.0,0.167,0.98,1.0,1.0,0.0,1.0,0.5,1.0,0.0,0.167,0.0,0.0,0.311,0.684
0.471,0.975,0.5,1.0,0.0,0.333,0.68,0.5,1.0,0.125,0.5,1.0,1.0,0.5,0.5,0.0,1.0,0.378,0.447
0.5,0.35,0.5,1.0,0.0,0.667,0.78,0.0,1.0,0.125,0.5,0.5,1.0,0.0,0.333,0.0,0.0,0.244,0.474
0.235,0.45,1.0,0.5,1.0,0.667,1.0,1.0,1.0,0.125,0.0,0.5,1.0,0.5,0.5,0.0,1.0,0.244,0.237
0.412,0.125,0.0,1.0,1.0,0.167,0.5,0.5,1.0,0.25,0.0,0.5,1.0,1.0,0.5,0.0,0.0,0.178,0.421
0.529,0.05,1.0,0.0,1.0,0.333,0.08,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.5,0.0,1.0,0.2,0.474
0.294,0.775,0.0,0.5,0.0,0.333,0.8,0.5,1.0,0.125,1.0,0.5,1.0,0.0,0.333,1.0,0.0,0.222,0.289
0.559,0.575,1.0,1.0,1.0,0.333,0.88,0.5,1.0,0.0,1.0,0.5,1.0,0.5,0.333,0.0,1.0,0.356,0.5
0.382,0.75,0.5,0.5,0.0,0.0,0.16,0.5,1.0,0.125,0.0,0.5,1.0,0.5,0.5,0.0,0.0,0.244,0.368
0.441,0.15,1.0,1.0,0.0,0.0,0.02,0.0,1.0,0.25,0.0,0.5,0.0,0.5,0.333,0.0,1.0,0.2,0.447
0.382,0.575,0.0,0.5,0.0,0.333,0.14,0.5,1.0,0.0,1.0,0.0,1.0,1.0,0.667,1.0,0.0,0.178,0.342
0.824,0.25,0.5,1.0,1.0,0.5,0.32,0.5,1.0,0.125,1.0,0.5,1.0,0.0,0.5,0.0,1.0,0.311,0.763
0.5,0.225,0.5,0.5,1.0,0.667,0.92,0.5,1.0,0.25,0.5,1.0,1.0,1.0,0.5,0.0,1.0,0.267,0.5
0.324,0.0,1.0,0.5,0.0,0.167,0.0,0.5,1.0,0.25,0.5,0.5,1.0,0.5,0.5,0.0,0.0,0.133,0.342
0.647,0.125,1.0,0.5,0.0,0.167,0.8,0.5,1.0,0.25,0.5,0.5,1.0,1.0,0.5,0.0,0.0,0.289,0.632
0.294,0.3,0.0,0.5,0.0,0.333,0.86,0.0,1.0,0.125,0.0,0.5,1.0,0.0,0.5,0.0,1.0,0.133,0.289
0.529,0.125,0.5,0.0,1.0,0.5,0.82,0.0,1.0,0.25,0.5,1.0,1.0,1.0,0.5,0.0,0.0,0.2,0.526
0.147,0.975,0.5,0.5,0.0,0.833,0.08,0.0,1.0,0.25,0.0,0.5,1.0,0.5,0.833,0.0,0.0,0.267,0.184
0.265,0.3,0.0,0.5,1.0,0.667,0.68,0.5,1.0,0.125,0.0,0.5,1.0,1.0,0.833,0.0,0.0,0.178,0.263
0.529,0.125,0.0,0.5,1.0,0.333,0.96,0.0,1.0,0.125,0.5,1.0,1.0,0.0,0.667,0.0,1.0,0.2,0.5
0.618,0.2,1.0,0.5,0.0,0.667,0.12,0.0,1.0,0.375,1.0,1.0,1.0,0.5,0.167,0.0,1.0,0.267,0.632
0.529,0.6,0.5,0.5,1.0,0.333,0.04,0.0,1.0,0.125,0.5,1.0,1.0,0.5,0.333,1.0,0.0,0.222,0.5
0.471,0.075,0.0,1.0,0.0,0.5,0.88,0.5,1.0,0.125,0.5,0.5,0.0,1.0,0.5,0.0,1.0,0.2,0.447
0.441,0.85,0.5,1.0,1.0,0.5,0.64,0.5,1.0,0.375,0.5,0.5,0.0,0.0,0.333,1.0,1.0,0.333,0.474
0.235,0.95,0.5,0.5,1.0,0.833,0.64,0.0,1.0,0.125,0.5,0.5,0.0,1.0,0.5,0.0,1.0,0.289,0.237
0.382,0.25,0.5,0.5,1.0,0.667,0.96,0.5,1.0,0.25,0.5,0.5,1.0,1.0,0.5,0.0,1.0,0.222,0.395
0.412,0.45,0.5,0.5,1.0,0.333,0.76,0.5,1.0,0.125,0.5,1.0,0.0,1.0,0.5,0.0,0.0,0.289,0.395
0.676,0.025,0.5,0.0,1.0,0.333,0.4,0.5,1.0,0.25,0.0,0.5,1.0,1.0,0.5,0.0,0.0,0.2,0.658
0.559,0.65,0.0,0.5,1.0,0.5,0.44,0.0,1.0,0.375,0.0,1.0,1.0,1.0,0.333,0.0,1.0,0.289,0.579
0.176,0.425,0.5,0.5,0.0,0.167,0.14,0.5,1.0,0.25,0.5,1.0,1.0,0.5,0.5,0.0,1.0,0.178,0.211
0.559,0.275,0.0,0.5,1.0,0.5,0.3,0.0,1.0,0.125,0.5,0.0,1.0,1.0,0.667,0.0,1.0,0.2,0.526
0.441,0.2,1.0,0.5,0.0,0.5,0.44,0.5,1.0,0.0,0.5,0.5,1.0,0.5,0.5,0.0,1.0,0.2,0.395
0.382,0.65,0.0,0.5,1.0,0.667,0.26,0.5,1.0,0.25,0.5,0.5,1.0,1.0,0.667,0.0,1.0,0.267,0.395
0.618,0.425,1.0,0.0,0.0,0.667,0.92,0.5,1.0,0.0,0.5,0.5,1.0,0.5,0.5,0.0,0.0,0.267,0.553
0.676,0.175,0.5,1.0,1.0,0.5,0.02,0.0,1.0,0.25,1.0,1.0,0.0,0.5,0.667,1.0,0.0,0.244,0.658
0.676,0.7,0.5,1.0,1.0,0.167,0.58,0.5,1.0,0.125,0.0,1.0,0.0,1.0,0.667,0.0,1.0,0.378,0.632
0.353,0.575,0.5,1.0,0.0,0.167,0.78,0.0,0.0,0.125,0.5,1.0,1.0,0.5,0.333,1.0,0.0,0.222,0.342
0.441,0.85,0.5,0.5,1.0,0.333,0.74,1.0,1.0,0.125,0.5,0.5,1.0,1.0,0.667,0.0,1.0,0.356,0.421
0.559,0.125,1.0,0.0,0.0,0.667,0.64,0.5,1.0,0.25,0.5,1.0,1.0,1.0,0.167,0.0,0.0,0.244,0.553
0.676,0.775,0.5,0.0,1.0,0.667,0.42,0.5,1.0,0.0,0.0,0.5,0.0,0.5,0.5,0.0,1.0,0.289,0.605
0.412,0.675,0.5,0.5,0.0,0.5,0.92,0.5,1.0,0.125,1.0,0.5,1.0,0.0,0.833,0.0,0.0,0.333,0.395
0.471,0.125,0.5,0.5,1.0,1.0,0.32,0.0,1.0,0.0,0.0,0.5,1.0,1.0,0.5,0.0,1.0,0.156,0.421
0.294,0.7,0.0,1.0,1.0,0.833,0.76,1.0,1.0,0.25,0.0,1.0,0.0,0.0,0.667,0.0,1.0,0.289,0.316
0.294,0.45,0.5,1.0,1.0,0.833,0.92,1.0,1.0,0.25,0.0,0.5,1.0,0.5,0.5,0.0,1.0,0.267,0.316
0.647,0.95,0.0,1.0,1.0,0.667,0.12,0.5,0.0,0.0,0.5,1.0,0.0,0.5,0.5,0.0,1.0,0.356,0.579
0.735,0.15,0.5,1.0,1.0,0.667,0.94,0.5,1.0,0.0,0.5,0.5,1.0,0.5,0.333,0.0,1.0,0.289,0.658
0.5,0.65,0.5,0.5,1.0,0.667,0.78,0.5,1.0,0.125,0.0,0.5,1.0,0.0,0.5,0.0,1.0,0.311,0.474
0.676,0.375,0.0,1.0,1.0,0.0,0.62,1.0,1.0,0.375,0.5,1.0,0.0,1.0,0.333,0.0,1.0,0.333,0.684
0.559,0.95,0.5,1.0,0.0,0.167,0.38,0.0,0.0,0.125,0.0,1.0,1.0,0.0,0.667,0.0,0.0,0.311,0.526
0.382,0.325,0.5,0.5,0.0,0.5,0.9,0.5,1.0,0.125,0.0,0.5,1.0,0.0,0.667,0.0,1.0,0.222,0.368
0.559,0.95,0.5,0.0,1.0,0.5,0.04,0.5,0.0,0.375,0.5,0.5,1.0,1.0,0.5,0.0,0.0,0.333,0.579
0.765,0.9,0.5,0.0,1.0,0.5,0.44,0.5,1.0,0.125,0.0,0.5,1.0,1.0,0.5,0.0,1.0,0.356,0.711
0.5,0.275,0.5,0.5,1.0,0.5,0.76,0.5,1.0,0.125,0.0,0.0,1.0,0.5,0.667,0.0,0.0,0.222,0.474
0.765,0.8,0.0,0.5,0.0,0.0,0.82,0.5,1.0,0.25,0.5,0.5,1.0,0.0,0.167,0.0,0.0,0.378,0.737
0.029,1.0,1.0,1.0,1.0,0.667,0.2,1.0,1.0,0.0,0.5,1.0,0.0,1.0,0.667,0.0,1.0,0.311,0.026
0.647,0.25,0.5,0.5,0.0,0.5,0.04,0.5,1.0,0.125,0.5,0.5,1.0,1.0,0.5,0.0,0.0,0.244,0.605
0.529,0.425,0.0,0.5,1.0,0.5,0.8,0.5,1.0,0.5,0.5,0.5,0.0,0.5,0.5,0.0,1.0,0.289,0.579
0.441,0.525,1.0,0.0,1.0,0.667,0.42,0.5,1.0,0.0,0.5,0.5,1.0,0.5,0.5,0.0,0.0,0.222,0.395
0.529,0.3,0.5,0.5,1.0,0.167,0.14,0.5,1.0,0.125,1.0,0.5,1.0,0.5,0.833,1.0,1.0,0.2,0.5
0.147,0.025,0.5,0.5,1.0,0.5,0.08,0.5,1.0,0.125,1.0,0.5,1.0,1.0,0.5,0.0,1.0,0.111,0.158
0.471,0.225,0.5,1.0,1.0,0.5,0.64,1.0,1.0,0.125,0.0,0.5,1.0,0.0,0.333,0.0,1.0,0.222,0.447
0.559,0.275,1.0,0.5,0.0,0.333,0.58,1.0,1.0,0.125,0.0,0.0,1.0,1.0,0.5,0.0,1.0,0.244,0.526
0.765,0.45,1.0,1.0,1.0,0.0,0.86,0.0,1.0,0.625,0.5,1.0,1.0,0.5,0.5,0.0,1.0,0.422,0.816
0.412,0.175,0.5,0.5,1.0,0.167,0.04,1.0,1.0,0.25,0.5,0.5,0.0,0.0,0.5,0.0,0.0,0.156,0.421
0.353,0.875,0.5,0.5,0.0,0.5,0.86,0.5,1.0,0.25,0.0,0.5,1.0,1.0,0.667,0.0,1.0,0.333,0.368
0.412,0.7,0.5,1.0,1.0,0.5,0.88,0.0,1.0,0.0,0.5,0.5,1.0,0.5,0.5,0.0,1.0,0.311,0.368
0.647,0.075,0.5,1.0,1.0,0.5,0.44,0.5,1.0,0.375,0.5,1.0,0.0,0.0,0.667,0.0,1.0,0.267,0.658
0.559,0.65,0.0,0.0,0.0,0.333,0.08,0.5,1.0,0.25,0.5,0.5,1.0,0.5,0.0,0.0,1.0,0.2,0.553
0.412,0.65,0.5,1.0,0.0,0.167,0.94,1.0,1.0,0.375,1.0,0.5,1.0,0.5,0.5,0.0,1.0,0.356,0.447
0.588,0.95,0.5,0.0,1.0,0.5,0.08,0.0,1.0,0.0,0.5,0.5,1.0,0.0,0.5,0.0,0.0,0.289,0.526
0.529,0.0,1.0,0.5,0.0,0.5,0.6,0.5,1.0,0.0,0.5,1.0,1.0,0.5,0.667,1.0,1.0,0.2,0.474
0.676,0.25,0.5,0.0,1.0,0.667,0.5,0.5,1.0,0.125,0.5,0.0,0.0,0.5,0.667,1.0,0.0,0.178,0.632
0.382,0.925,0.5,0.5,1.0,0.333,0.84,0.0,1.0,0.0,1.0,0.5,0.0,1.0,0.667,0.0,1.0,0.356,0.342
0.441,0.925,1.0,0.5,1.0,0.0,0.5,0.0,1.0,0.0,0.0,0.5,1.0,1.0,0.5,0.0,1.0,0.311,0.395
0.441,0.725,1.0,0.5,1.0,0.0,0.46,0.5,1.0,0.375,1.0,0.5,0.0,1.0,0.333,0.0,0.0,1.0,0.474
0.235,0.775,0.5,0.5,0.0,0.333,0.88,0.5,1.0,0.375,0.5,0.5,1.0,0.5,0.5,0.0,1.0,0.289,0.289
0.559,0.1,0.0,0.5,0.0,0.5,0.96,0.0,0.0,0.125,0.5,0.5,1.0,0.0,0.5,0.0,1.0,0.156,0.526
0.559,0.525,0.5,0.5,1.0,0.5,0.54,0.0,1.0,0.25,0.5,0.5,1.0,1.0,0.5,0.0,0.0,0.289,0.553
0.5,0.225,1.0,1.0,1.0,0.333,0.46,0.5,1.0,0.25,0.0,0.5,0.0,1.0,0.5,0.0,1.0,0.244,0.5
0.471,0.175,0.0,0.5,0.0,0.167,0.84,1.0,1.0,0.0,0.5,0.5,1.0,1.0,0.5,0.0,1.0,0.2,0.421
0.265,0.8,0.5,0.5,0.0,0.0,0.84,1.0,1.0,0.25,0.5,1.0,1.0,0.5,0.5,1.0,1.0,0.267,0.289
0.412,0.125,0.5,1.0,1.0,0.667,0.32,0.5,1.0,0.125,1.0,1.0,1.0,0.5,0.667,1.0,0.0,0.222,0.395
0.441,0.475,0.5,0.5,1.0,0.5,0.58,0.5,1.0,0.0,0.0,1.0,0.0,0.5,0.5,0.0,1.0,0.222,0.395
0.353,0.95,1.0,0.5,0.0,0.333,0.16,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.5,0.0,1.0,0.311,0.316
0.471,0.175,0.5,0.5,0.0,0.167,0.64,1.0,1.0,0.125,0.0,0.0,0.0,0.0,0.5,0.0,1.0,0.178,0.447
0.559,0.975,0.5,0.0,1.0,0.333,0.84,0.0,1.0,0.375,0.5,0.5,1.0,0.0,0.667,0.0,1.0,0.378,0.579
0.824,1.0,0.5,0.5,0.0,0.5,0.18,0.5,1.0,0.25,1.0,1.0,1.0,1.0,0.833,0.0,1.0,0.467,0.789
0.529,0.55,0.5,1.0,1.0,0.5,0.32,1.0,1.0,0.375,0.0,0.5,1.0,1.0,0.5,1.0,0.0,0.311,0.553
0.559,0.175,0.5,0.5,1.0,0.5,0.44,1.0,1.0,0.375,0.0,1.0,1.0,1.0,0.333,0.0,0.0,0.267,0.579
0.5,0.325,1.0,0.5,1.0,0.833,0.84,0.5,1.0,0.25,0.5,1.0,1.0,1.0,0.5,0.0,1.0,0.311,0.5
0.147,0.425,1.0,0.5,1.0,0.333,0.74,0.5,1.0,0.0,0.0,0.5,1.0,0.5,0.333,0.0,1.0,0.178,0.132
0.5,0.3,0.5,0.5,0.0,0.833,0.32,0.5,1.0,0.375,0.0,1.0,0.0,1.0,0.5,0.0,1.0,0.267,0.526
0.5,0.275,0.0,1.0,1.0,0.5,0.24,1.0,1.0,0.25,0.5,0.5,1.0,0.0,0.833,0.0,1.0,0.244,0.5
0.941,0.975,1.0,1.0,1.0,0.5,0.7,0.0,1.0,0.25,0.5,1.0,0.0,0.5,0.333,0.0,0.0,0.533,0.895
0.471,0.15,0.5,0.5,0.0,0.667,0.48,0.5,1.0,0.125,1.0,0.5,1.0,0.5,0.5,0.0,0.0,0.2,0.447
0.559,0.725,1.0,1.0,1.0,0.333,0.6,0.5,1.0,0.125,1.0,1.0,1.0,1.0,0.5,0.0,0.0,0.4,0.526
0.5,0.0,0.0,1.0,0.0,0.5,0.64,1.0,1.0,0.25,0.0,1.0,1.0,1.0,0.667,1.0,1.0,0.178,0.5
0.294,0.6,0.5,0.5,0.0,0.167,0.56,0.5,1.0,0.125,0.0,1.0,1.0,1.0,0.333,0.0,1.0,0.222,0.289
0.706,0.925,0.0,1.0,1.0,0.667,0.62,0.5,1.0,0.0,1.0,0.5,1.0,1.0,0.833,0.0,0.0,0.4,0.632
0.647,0.3,1.0,1.0,1.0,0.667,0.88,0.0,1.0,0.25,0.0,0.5,0.0,1.0,0.667,0.0,0.0,0.333,0.632
0.647,0.175,1.0,0.5,0.0,0.833,0.86,1.0,1.0,0.25,0.0,1.0,1.0,1.0,0.5,1.0,0.0,0.289,0.632
0.353,0.65,0.5,0.5,1.0,0.5,0.14,0.5,1.0,0.125,0.5,0.5,1.0,0.0,0.5,0.0,1.0,0.222,0.342
0.735,0.725,0.0,1.0,1.0,0.833,0.58,1.0,1.0,0.0,0.0,0.5,0.0,1.0,0.167,0.0,0.0,0.356,0.658
0.265,0.7,0.0,0.5,0.0,0.333,0.44,0.0,1.0,0.25,0.5,0.5,1.0,1.0,0.333,0.0,1.0,0.2,0.289
0.618,0.325,0.5,1.0,1.0,0.667,0.28,0.5,1.0,0.5,1.0,0.5,0.0,0.5,0.5,1.0,1.0,0.289,0.658
0.882,0.25,0.5,0.5,1.0,0.333,0.64,0.0,1.0,0.125,0.0,1.0,1.0,0.5,0.667,0.0,1.0,0.311,0.816
0.324,0.95,0.5,0.5,0.0,0.5,0.52,0.5,1.0,0.0,0.5,1.0,0.0,1.0,0.667,0.0,0.0,0.311,0.289
0.412,0.925,0.5,0.5,0.0,0.667,0.78,0.5,1.0,0.125,0.0,0.5,1.0,0.5,0.667,0.0,1.0,0.311,0.395
0.529,0.45,0.5,0.5,1.0,1.0,0.1,0.5,1.0,0.125,1.0,0.0,0.0,1.0,0.333,0.0,1.0,0.267,0.5
0.412,0.85,0.0,0.5,1.0,0.667,0.3,0.0,1.0,0.5,0.5,0.5,1.0,0.5,1.0,0.0,0.0,0.289,0.474
0.235,0.45,0.5,1.0,1.0,0.667,0.02,0.5,1.0,0.25,0.0,0.5,1.0,0.5,0.5,0.0,1.0,0.2,0.263
0.5,0.425,0.5,0.5,0.0,0.333,0.74,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.667,0.0,0.0,0.244,0.447
0.324,0.15,1.0,0.0,0.0,0.5,0.92,0.5,1.0,0.375,0.0,1.0,1.0,0.0,0.5,0.0,1.0,0.178,0.368
0.588,0.425,0.5,0.5,1.0,0.5,0.58,0.5,1.0,0.0,0.0,1.0,1.0,0.5,0.333,0.0,1.0,0.244,0.526
0.324,0.525,0.5,0.5,0.0,0.833,0.62,0.5,1.0,0.125,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.244,0.316
0.765,0.025,0.5,1.0,1.0,0.5,0.04,0.0,1.0,0.375,0.0,0.5,0.0,1.0,0.5,0.0,0.0,0.267,0.763
0.353,0.45,1.0,1.0,0.0,0.833,0.5,0.0,1.0,0.125,0.0,0.5,1.0,0.0,0.167,0.0,1.0,0.222,0.342
0.441,0.775,0.0,0.5,1.0,0.167,0.52,0.5,1.0,0.125,0.5,0.5,1.0,0.5,0.5,0.0,0.0,0.289,0.421
0.647,0.675,0.5,0.0,0.0,0.833,0.04,1.0,1.0,0.125,0.0,1.0,0.0,1.0,0.333,0.0,1.0,0.289,0.605
0.294,0.625,1.0,0.5,0.0,0.333,0.78,0.5,1.0,0.0,1.0,0.5,0.0,0.5,0.167,1.0,1.0,0.222,0.263
0.529,0.9,0.5,0.5,0.0,0.667,0.28,1.0,1.0,0.25,0.5,1.0,1.0,0.5,0.0,0.0,1.0,0.356,0.526
0.735,0.025,0.5,1.0,0.0,0.333,0.72,1.0,1.0,0.125,0.0,0.5,0.0,0.0,0.5,1.0,1.0,0.222,0.684
0.206,0.55,0.5,0.0,0.0,0.667,0.4,0.5,1.0,0.375,0.0,1.0,1.0,1.0,0.167,1.0,0.0,0.2,0.263
0.529,0.775,1.0,0.5,0.0,0.333,1.0,0.5,1.0,0.0,1.0,0.5,0.0,0.5,0.333,0.0,0.0,0.378,0.474
0.559,0.55,0.5,0.5,0.0,0.833,0.22,0.5,1.0,0.25,0.0,0.5,1.0,0.0,0.333,1.0,0.0,0.222,0.553
0.647,0.325,0.5,1.0,0.0,0.667,0.06,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.833,0.0,0.0,0.244,0.579
0.294,0.125,0.0,1.0,0.0,0.333,0.98,0.5,1.0,0.0,0.0,0.5,0.0,0.0,0.667,0.0,1.0,0.133,0.263
0.265,0.9,0.0,1.0,1.0,0.667,0.24,0.5,1.0,0.25,0.5,1.0,1.0,0.0,0.5,0.0,0.0,0.289,0.289
0.588,0.475,1.0,1.0,1.0,0.667,0.64,0.0,1.0,0.375,0.5,0.5,1.0,0.0,0.5,1.0,0.0,0.311,0.605
0.559,0.875,0.5,1.0,1.0,0.333,0.38,0.5,1.0,0.125,0.0,0.5,1.0,1.0,0.5,0.0,0.0,0.378,0.526
0.559,0.575,0.5,1.0,1.0,0.167,0.64,0.5,1.0,0.25,0.0,1.0,1.0,1.0,0.5,0.0,0.0,0.356,0.553
0.559,0.675,1.0,1.0,0.0,0.167,0.6,0.0,1.0,0.25,0.0,1.0,1.0,0.0,0.5,0.0,0.0,0.333,0.553
0.382,0.8,0.5,1.0,1.0,0.167,0.7,0.0,1.0,0.125,0.0,0.5,1.0,0.5,0.333,0.0,1.0,0.289,0.368
0.529,0.65,0.0,0.5,1.0,0.167,0.02,0.5,1.0,0.25,0.0,1.0,1.0,1.0,0.333,0.0,0.0,0.267,0.526
0.559,0.4,0.5,0.5,1.0,0.667,0.84,0.5,1.0,0.125,0.0,1.0,1.0,0.5,0.667,0.0,0.0,0.289,0.526
0.382,0.525,0.5,0.5,1.0,0.667,0.48,0.5,1.0,0.375,0.5,0.5,1.0,1.0,0.333,0.0,0.0,0.289,0.421
0.824,0.8,0.5,0.5,1.0,0.0,0.52,0.5,1.0,0.25,0.5,1.0,1.0,1.0,0.667,1.0,1.0,0.378,0.789
0.588,0.375,0.0,1.0,0.0,0.333,0.42,0.0,1.0,0.0,0.5,0.5,1.0,0.5,0.333,0.0,1.0,0.222,0.526
0.294,0.4,0.5,1.0,0.0,0.167,0.98,0.0,1.0,0.25,0.5,0.5,0.0,1.0,0.667,0.0,0.0,0.244,0.316
0.618,0.1,0.5,0.5,1.0,0.667,0.8,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.5,0.0,1.0,0.222,0.553
0.324,0.925,0.5,0.5,1.0,0.333,0.32,0.5,1.0,0.25,0.5,0.5,1.0,0.0,0.5,1.0,0.0,0.267,0.342
0.647,0.1,0.5,1.0,0.0,0.167,0.78,0.0,1.0,0.25,0.5,0.5,1.0,0.5,0.667,0.0,1.0,0.244,0.632
0.706,0.65,0.5,0.5,0.0,0.5,0.44,0.0,1.0,0.125,0.5,1.0,1.0,1.0,0.667,0.0,1.0,0.311,0.658
0.353,0.425,0.5,0.5,1.0,0.667,0.88,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.5,0.0,1.0,0.244,0.316
0.676,0.4,0.5,1.0,1.0,0.333,0.04,0.5,1.0,0.5,1.0,0.0,1.0,0.5,0.5,0.0,1.0,0.311,0.711
0.559,0.675,1.0,0.0,1.0,0.5,0.36,0.5,0.0,0.0,0.0,0.5,1.0,0.5,0.333,0.0,1.0,0.267,0.5
0.647,0.075,1.0,0.5,1.0,0.333,0.42,0.5,1.0,0.125,0.5,0.0,0.0,1.0,0.5,0.0,1.0,0.244,0.605
0.824,0.6,0.5,0.5,1.0,0.833,0.74,0.5,1.0,0.25,0.0,0.5,0.0,0.5,0.5,0.0,1.0,0.356,0.789
0.471,0.775,1.0,0.0,0.0,0.333,0.18,0.5,1.0,0.625,0.5,1.0,1.0,0.5,0.667,0.0,1.0,0.333,0.553
0.353,0.825,1.0,0.5,0.0,0.333,0.28,0.5,1.0,0.25,0.5,1.0,1.0,1.0,0.667,0.0,1.0,0.356,0.368
0.353,0.175,0.5,0.5,1.0,0.5,0.72,1.0,1.0,0.125,1.0,0.5,0.0,1.0,0.5,0.0,1.0,0.244,0.342
0.353,0.9,0.5,0.5,0.0,0.5,0.08,1.0,0.0,0.375,0.5,1.0,1.0,0.0,0.333,0.0,1.0,0.267,0.395
0.5,0.65,1.0,0.0,0.0,0.667,0.2,0.5,1.0,0.125,0.5,0.5,1.0,0.5,0.667,1.0,0.0,0.244,0.474
0.559,0.875,0.5,1.0,0.0,0.833,0.76,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.333,0.0,1.0,0.378,0.5
0.559,0.475,0.5,0.5,0.0,0.833,0.88,0.5,1.0,0.125,0.5,0.5,1.0,1.0,0.5,0.0,1.0,0.289,0.526
0.647,0.55,0.5,0.5,0.0,0.333,0.72,0.5,0.0,0.375,0.0,1.0,1.0,1.0,0.5,0.0,0.0,0.311,0.658
0.5,0.925,0.5,0.5,1.0,0.5,0.52,0.0,1.0,0.25,0.0,0.0,0.0,1.0,0.5,0.0,1.0,0.356,0.5
0.765,0.9,0.5,0.5,1.0,0.833,0.1,0.0,0.0,0.0,0.5,0.5,1.0,0.5,0.333,0.0,0.0,0.333,0.684
0.441,0.45,0.5,0.5,0.0,0.833,0.82,1.0,1.0,0.25,1.0,0.0,1.0,0.5,0.667,0.0,0.0,0.267,0.447
0.971,0.275,0.5,0.5,1.0,0.333,0.12,0.5,1.0,0.25,1.0,0.5,1.0,1.0,0.333,0.0,1.0,0.311,0.921
